City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Hithadhoo,MV,83.77,overcast clouds,-0.6,73.0833,Scoop Guest House
6,Atuona,PF,77.92,light rain,-9.8,-139.0333,Villa Enata
9,Ternate,ID,81.25,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
11,Bengkulu,ID,76.1,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
12,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
13,Rikitea,PF,75.51,light rain,-23.1203,-134.9692,People ThankYou
22,Kapaa,US,81.48,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
25,Tabuk,PH,79.9,light rain,17.4189,121.4443,Golden Berries Hotel and Convention
27,Bandarbeyla,SO,81.27,broken clouds,9.4942,50.8122,JABIR HOTEL
31,Nova Olinda Do Norte,BR,77.94,broken clouds,-3.8881,-59.0942,Casa Juazeiro
33,Harper,LR,75.61,light rain,4.375,-7.7169,Screensaver
34,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
35,Mount Isa,AU,71.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
39,Biltine,TD,84.0,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
41,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
47,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
55,Faanui,PF,81.07,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
56,Nishihara,JP,74.48,light rain,26.1842,127.7558,Minshuku Agaihama
59,Alyangula,AU,83.28,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
60,Dongying,CN,81.59,clear sky,37.4564,118.4856,Wanda Realm
62,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
73,Bouna,CI,72.18,overcast clouds,9.2667,-3.0,Hôtel lababa
74,Acarau,BR,76.69,few clouds,-2.8856,-40.12,castelo pizzaria
77,Mahibadhoo,MV,83.16,broken clouds,3.7833,72.9667,Omadhoo Inn
80,Arraial Do Cabo,BR,71.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
86,Isangel,VU,84.31,scattered clouds,-19.55,169.2667,Tanna Lodge
88,Male,MV,84.15,broken clouds,4.1748,73.5089,Hotel Octave Maldives
92,Victoria,HK,78.19,overcast clouds,22.2855,114.1577,Mini Central
98,Mastic Beach,US,77.04,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
102,Vao,NC,75.11,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
103,Kutum,SD,74.37,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
109,Diffa,NE,84.85,scattered clouds,13.3154,12.6113,ProDAF/Diffa
116,Carnarvon,AU,70.29,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
118,Mattru,SL,74.26,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
119,Meulaboh,ID,77.43,overcast clouds,4.1363,96.1285,Kost Pria
120,Boa Vista,BR,75.18,light rain,2.8197,-60.6733,Aipana Plaza Hotel
121,Arani,IN,80.67,broken clouds,12.6667,79.2833,KPK LODGE
123,Trinidad,BO,75.18,broken clouds,-14.8333,-64.9,Hotel Piesta
124,Nacala,MZ,71.38,few clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
128,Barbacoas,CO,76.17,moderate rain,1.6715,-78.1398,edificio justin
130,Raha,IN,74.32,broken clouds,26.2333,92.5167,"Greedy, Brainless Rent House ( অহংকাৰী, প‌ইচাখকুৱা ভাড়াঘৰ)"
132,Kendari,ID,78.66,scattered clouds,-3.945,122.4989,Hotel Wixel
139,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
145,Conde,BR,74.66,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
147,San Policarpo,PH,82.31,broken clouds,12.1791,125.5072,Agapita M. Nicart
148,Monrovia,LR,77.36,moderate rain,6.3005,-10.7969,Sunset Inn
153,Karratha,AU,77.72,light rain,-20.7377,116.8463,ibis Styles Karratha
155,Ranong,TH,73.33,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
156,Butaritari,KI,82.15,broken clouds,3.0707,172.7902,Isles Sunset Lodge
158,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
160,Pedernales,DO,80.8,overcast clouds,18.0384,-71.744,Hotel Costa Marina
161,Wanning,CN,81.43,overcast clouds,18.8003,110.3967,Paradise Hotel
165,Puerto Ayora,EC,72.68,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
166,Antalaha,MG,72.14,light rain,-14.9003,50.2788,Hotel Vitasoa
167,Alice,US,84.54,clear sky,27.7523,-98.0697,"Holiday Inn Express & Suites Alice, an IHG Hotel"
168,Hami,CN,81.82,broken clouds,42.8,93.45,Laoyutang Resort
170,Kavieng,PG,84.79,few clouds,-2.5744,150.7967,Nusa Island Retreat
171,Palauig,PH,81.99,overcast clouds,15.435,119.9045,Alperi Botique Resort
172,Itarema,BR,75.94,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
177,Tura,IN,70.7,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
178,Gunjur,GM,73.47,clear sky,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
180,Luganville,VU,84.27,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
181,Hirara,JP,78.66,moderate rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
186,Port Blair,IN,84.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
189,Russell,US,78.4,clear sky,32.3502,-85.1999,Macs
193,Abeche,TD,84.33,broken clouds,13.8292,20.8324,Assaleh Hamdan Haroune
196,Hambantota,LK,79.0,overcast clouds,6.1241,81.1185,Bungalow 63
202,Hailun,CN,70.65,broken clouds,47.45,126.9333,Wanhao Hotel
