City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Castro,BR,-24.7911,-50.0119,49.14,81,28,2.57,scattered clouds
1,Port Elizabeth,ZA,-33.918,25.5701,53.89,87,0,3.44,clear sky
2,Provideniya,RU,64.3833,-173.3,51.91,58,0,15.99,clear sky
3,Hamilton,US,39.1834,-84.5333,67.05,66,100,17.27,overcast clouds
4,Hithadhoo,MV,-0.6,73.0833,83.77,71,98,13.2,overcast clouds
5,Agua Verde,MX,22.9,-106.05,79.07,64,3,9.69,clear sky
6,Atuona,PF,-9.8,-139.0333,77.92,79,28,17.74,light rain
7,Busselton,AU,-33.65,115.3333,60.91,71,84,20.69,broken clouds
8,Maniitsoq,GL,65.4167,-52.9,32.18,97,100,30.91,snow
9,Ternate,ID,0.8,127.4,81.25,78,99,3.4,overcast clouds
10,Kruisfontein,ZA,-34.0033,24.7314,54.18,80,98,3.89,overcast clouds
11,Bengkulu,ID,-3.8004,102.2655,76.1,88,32,3.51,scattered clouds
12,Bambous Virieux,MU,-20.3428,57.7575,75.45,73,40,9.22,scattered clouds
13,Rikitea,PF,-23.1203,-134.9692,75.51,78,13,14.38,light rain
14,Albany,US,42.6001,-73.9662,70.21,94,94,13.15,overcast clouds
15,Bredasdorp,ZA,-34.5322,20.0403,54.86,90,78,4.0,broken clouds
16,Airai,TL,-8.9266,125.4092,66.87,66,45,4.47,scattered clouds
17,Honningsvag,NO,70.9821,25.9704,42.55,81,40,1.14,scattered clouds
18,Hermanus,ZA,-34.4187,19.2345,58.89,83,63,7.92,broken clouds
19,Rio Grande,BR,-32.035,-52.0986,47.95,80,1,7.92,clear sky
20,Filingue,NE,14.3521,3.3168,86.76,43,94,10.89,light rain
21,Ventosa,PT,39.127,-9.0842,62.31,95,93,7.23,overcast clouds
22,Kapaa,US,22.0752,-159.319,81.48,79,40,11.5,scattered clouds
23,Louis Trichardt,ZA,-23.0439,29.9032,47.98,74,7,2.68,clear sky
24,Carballo,ES,43.213,-8.691,58.42,95,47,3.65,scattered clouds
25,Tabuk,PH,17.4189,121.4443,79.9,84,83,4.99,light rain
26,Aklavik,CA,68.2191,-135.0107,36.63,55,97,9.75,overcast clouds
27,Bandarbeyla,SO,9.4942,50.8122,81.27,78,82,16.6,broken clouds
28,Ushuaia,AR,-54.8,-68.3,33.46,80,0,0.0,clear sky
29,Jamestown,US,42.097,-79.2353,53.94,89,100,6.91,overcast clouds
30,Port Alfred,ZA,-33.5906,26.891,59.83,80,61,5.35,broken clouds
31,Nova Olinda Do Norte,BR,-3.8881,-59.0942,77.94,80,84,2.37,broken clouds
32,Mataura,NZ,-46.1927,168.8643,47.52,76,88,7.94,overcast clouds
33,Harper,LR,4.375,-7.7169,75.61,92,100,10.13,light rain
34,Souillac,MU,-20.5167,57.5167,75.58,73,40,9.22,scattered clouds
35,Mount Isa,AU,-20.7333,139.5,71.37,56,1,8.05,clear sky
36,Ostrovnoy,RU,68.0531,39.5131,30.63,78,19,10.83,few clouds
37,Hobart,AU,-42.8794,147.3294,53.26,87,20,11.5,few clouds
38,Shenjiamen,CN,29.9576,122.298,65.73,82,100,9.69,light rain
39,Biltine,TD,14.5333,20.9167,84.0,14,54,10.4,broken clouds
40,Nanortalik,GL,60.1432,-45.2371,35.17,92,93,8.93,overcast clouds
41,Vaini,TO,-21.2,-175.2,82.56,83,40,8.05,scattered clouds
42,Cherskiy,RU,68.75,161.3,56.75,37,94,17.87,overcast clouds
43,Aljezur,PT,37.3191,-8.8033,61.48,92,68,11.16,broken clouds
44,Bremervorde,DE,53.4833,9.1333,55.38,87,100,7.25,overcast clouds
45,Bunia,CD,1.5667,30.25,64.04,87,100,1.61,overcast clouds
46,Iserlohn,DE,51.3667,7.7,57.99,81,20,1.14,few clouds
47,Avarua,CK,-21.2078,-159.775,84.25,74,75,10.36,broken clouds
48,New Norfolk,AU,-42.7826,147.0587,52.92,68,63,1.59,broken clouds
49,Sechura,PE,-5.5569,-80.8222,68.18,75,6,17.69,clear sky
50,Esfahan,IR,32.6572,51.6776,51.44,16,0,1.86,clear sky
51,Brainerd,US,46.358,-94.2008,57.45,33,100,8.05,overcast clouds
52,Asau,RO,46.4333,26.4,52.72,85,94,1.9,overcast clouds
53,Lerwick,GB,60.1545,-1.1494,50.0,98,100,12.21,light rain
54,Ponta Do Sol,PT,32.6667,-17.1,68.0,71,11,4.12,few clouds
55,Faanui,PF,-16.4833,-151.75,81.07,69,10,14.41,clear sky
56,Nishihara,JP,26.1842,127.7558,74.48,83,100,11.5,light rain
57,Tuatapere,NZ,-46.1333,167.6833,50.83,71,55,10.27,broken clouds
58,Klaksvik,FO,62.2266,-6.589,47.32,93,36,8.99,scattered clouds
59,Alyangula,AU,-13.8483,136.4192,83.28,63,84,15.03,broken clouds
60,Dongying,CN,37.4564,118.4856,81.59,29,4,5.7,clear sky
61,Ahipara,NZ,-35.1667,173.1667,62.91,67,100,11.5,overcast clouds
62,Olinda,BR,-8.0089,-34.8553,78.53,83,75,9.22,broken clouds
63,Beringovskiy,RU,63.05,179.3167,42.6,73,96,10.8,overcast clouds
64,Barrow,US,71.2906,-156.7887,24.82,86,100,10.36,overcast clouds
65,Turukhansk,RU,65.8167,87.9833,56.03,68,85,7.27,overcast clouds
66,Maputo,MZ,-25.9653,32.5892,62.28,91,75,8.05,light rain
67,Moussoro,TD,13.6408,16.4901,87.01,14,11,13.47,few clouds
68,Tasiilaq,GL,65.6145,-37.6368,35.76,99,100,10.22,moderate rain
69,Neftcala,AZ,39.3742,49.2472,62.44,80,76,6.98,broken clouds
70,Thompson,CA,55.7435,-97.8558,64.56,20,100,10.36,overcast clouds
71,Romny,UA,50.751,33.4747,43.41,95,85,7.02,overcast clouds
72,Thinadhoo,MV,0.5333,72.9333,83.21,76,62,13.27,broken clouds
73,Bouna,CI,9.2667,-3.0,72.18,86,96,5.95,overcast clouds
74,Acarau,BR,-2.8856,-40.12,76.69,86,21,7.85,few clouds
75,Ilulissat,GL,69.2167,-51.1,35.62,93,100,3.44,overcast clouds
76,Clyde River,CA,70.4692,-68.5914,19.63,86,100,23.02,light snow
77,Mahibadhoo,MV,3.7833,72.9667,83.16,76,79,12.37,broken clouds
78,Qaanaaq,GL,77.484,-69.3632,27.1,78,100,4.88,overcast clouds
79,San Vicente,AR,-26.6167,-54.1333,53.6,74,99,2.73,overcast clouds
80,Arraial Do Cabo,BR,-22.9661,-42.0278,71.26,71,1,15.32,clear sky
81,Hilo,US,19.7297,-155.09,86.29,55,0,9.22,clear sky
82,Boma,GH,7.0805,-2.1697,68.99,98,96,2.48,overcast clouds
83,Goderich,CA,43.7501,-81.7165,50.32,81,100,8.05,overcast clouds
84,Saint-Philippe,RE,-21.3585,55.7679,67.59,72,40,9.93,scattered clouds
85,Rongcheng,CN,30.634,117.8517,69.12,80,100,1.05,overcast clouds
86,Isangel,VU,-19.55,169.2667,84.31,79,40,2.3,scattered clouds
87,Grindavik,IS,63.8424,-22.4338,48.15,87,0,13.8,clear sky
88,Male,MV,4.1748,73.5089,84.15,79,75,11.5,broken clouds
89,Constitucion,CL,-35.3333,-72.4167,52.02,92,100,12.68,overcast clouds
90,Torbay,CA,47.6666,-52.7314,56.17,64,100,12.66,overcast clouds
91,Rocha,UY,-34.4833,-54.3333,50.67,85,51,5.59,broken clouds
92,Victoria,HK,22.2855,114.1577,78.19,93,96,13.0,overcast clouds
93,Kahului,US,20.8947,-156.47,87.82,40,0,18.41,clear sky
94,Awjilah,LY,29.1081,21.2869,69.37,32,0,6.2,clear sky
95,Gillette,US,44.2911,-105.5022,57.11,35,20,11.99,few clouds
96,Geraldton,AU,-28.7667,114.6,64.81,77,75,14.97,broken clouds
97,Anadyr,RU,64.75,177.4833,54.1,58,0,8.95,clear sky
98,Mastic Beach,US,40.7668,-72.8521,77.04,89,0,13.0,clear sky
99,Punta Arenas,CL,-53.15,-70.9167,33.91,80,40,5.75,scattered clouds
100,Ridgecrest,US,35.6225,-117.6709,93.65,10,0,8.99,clear sky
101,San Rafael,AR,-34.6177,-68.3301,57.69,32,65,4.9,broken clouds
102,Vao,NC,-22.6667,167.4833,75.11,85,79,14.85,broken clouds
103,Kutum,SD,14.2,24.6667,74.37,20,42,7.05,scattered clouds
104,Fort Nelson,CA,58.8053,-122.7002,60.39,41,75,6.91,broken clouds
105,Poum,NC,-20.2333,164.0167,79.18,80,3,11.83,clear sky
106,Pevek,RU,69.7008,170.3133,35.73,90,39,8.59,scattered clouds
107,Palmer,US,42.1584,-72.3287,87.17,51,75,29.93,squalls
108,Abu Samrah,SY,35.3029,37.1841,58.96,76,3,18.12,clear sky
109,Diffa,NE,13.3154,12.6113,84.85,16,28,8.08,scattered clouds
110,Ingham,US,42.6,-84.3833,58.23,54,0,8.05,clear sky
111,Barra Da Estiva,BR,-13.6261,-41.3269,61.77,56,1,3.53,clear sky
112,Comodoro Rivadavia,AR,-45.8667,-67.5,44.46,49,0,10.36,clear sky
113,Lorengau,PG,-2.0226,147.2712,85.82,64,98,13.29,overcast clouds
114,Birjand,IR,32.8663,59.2211,52.27,30,0,4.61,clear sky
115,Bluff,NZ,-46.6,168.3333,52.07,74,98,30.49,overcast clouds
116,Carnarvon,AU,-24.8667,113.6333,70.29,58,31,14.94,scattered clouds
117,Pecanha,BR,-18.5486,-42.5569,55.08,79,5,3.42,clear sky
118,Mattru,SL,7.6244,-11.8332,74.26,97,100,3.69,overcast clouds
119,Meulaboh,ID,4.1363,96.1285,77.43,87,100,2.26,overcast clouds
120,Boa Vista,BR,2.8197,-60.6733,75.18,88,75,1.14,light rain
121,Arani,IN,12.6667,79.2833,80.67,65,77,6.73,broken clouds
122,Lososina,RU,48.9975,140.3106,42.64,82,92,9.53,overcast clouds
123,Trinidad,BO,-14.8333,-64.9,75.18,78,59,0.0,broken clouds
124,Nacala,MZ,-14.5428,40.6728,71.38,93,23,3.13,few clouds
125,Griffith,US,41.5284,-87.4237,61.14,48,0,9.22,clear sky
126,Hovd,MN,48.0056,91.6419,67.12,18,99,3.27,overcast clouds
127,Pokrovsk,UA,48.282,37.1758,49.24,88,81,11.48,broken clouds
128,Barbacoas,CO,1.6715,-78.1398,76.17,94,80,1.9,moderate rain
129,Santiago,CL,-33.4569,-70.6483,62.17,60,100,6.91,overcast clouds
130,Raha,IN,26.2333,92.5167,74.32,93,79,3.27,broken clouds
131,Chokurdakh,RU,70.6333,147.9167,33.12,100,100,5.68,light snow
132,Kendari,ID,-3.945,122.4989,78.66,87,48,1.52,scattered clouds
133,Komsomolskiy,UZ,40.4272,71.7189,54.32,76,100,4.61,overcast clouds
134,Ongandjera,NA,-17.8833,15.0667,57.99,22,0,9.04,clear sky
135,Kaitangata,NZ,-46.2817,169.8464,50.14,70,97,16.51,overcast clouds
136,Marmora,IT,44.4583,7.094,52.27,76,100,3.0,overcast clouds
137,Yar-Sale,RU,66.8333,70.8333,34.14,93,99,27.83,overcast clouds
138,Norman Wells,CA,65.282,-126.8329,46.44,49,75,4.61,broken clouds
139,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,17.27,few clouds
140,Alghero,IT,40.5589,8.3181,59.09,82,0,2.3,clear sky
141,Brae,GB,60.3964,-1.353,50.65,98,100,10.83,light rain
142,Tottori,JP,35.5,134.2333,66.27,82,20,3.44,few clouds
143,Ancud,CL,-41.8697,-73.8203,47.79,73,20,16.28,light rain
144,Yellowknife,CA,62.456,-114.3525,37.92,65,100,8.05,light snow
145,Conde,BR,-7.2597,-34.9075,74.66,100,75,5.75,broken clouds
146,Lebu,CL,-37.6167,-73.65,50.05,81,100,5.28,overcast clouds
147,San Policarpo,PH,12.1791,125.5072,82.31,79,72,9.91,broken clouds
148,Monrovia,LR,6.3005,-10.7969,77.36,87,100,10.8,moderate rain
149,Nikolskoye,RU,59.7035,30.7861,45.88,56,30,2.98,scattered clouds
150,Nome,US,64.5011,-165.4064,68.07,22,0,9.22,clear sky
151,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,74,100,8.05,overcast clouds
152,Port Augusta,AU,-32.5,137.7667,65.93,57,68,5.41,broken clouds
153,Karratha,AU,-20.7377,116.8463,77.72,72,99,5.53,light rain
154,Mykhaylivka,UA,47.2724,35.2224,52.18,81,33,9.84,scattered clouds
155,Ranong,TH,9.9658,98.6348,73.33,86,100,12.44,overcast clouds
156,Butaritari,KI,3.0707,172.7902,82.15,78,53,12.62,broken clouds
157,Vostok,RU,46.4856,135.8833,58.35,62,67,2.44,broken clouds
158,San Andres,CO,12.5847,-81.7006,84.22,74,40,14.97,scattered clouds
159,Vila,PT,42.0304,-8.1588,51.69,94,96,2.95,overcast clouds
160,Pedernales,DO,18.0384,-71.744,80.8,72,85,3.94,overcast clouds
161,Wanning,CN,18.8003,110.3967,81.43,86,100,5.17,overcast clouds
162,Barao De Melgaco,BR,-16.1944,-55.9675,68.36,47,3,1.41,clear sky
163,Saint Anthony,US,45.0205,-93.218,58.66,38,100,9.22,overcast clouds
164,East London,ZA,-33.0153,27.9116,59.41,84,3,4.34,clear sky
165,Puerto Ayora,EC,-0.7393,-90.3518,72.68,86,55,7.76,broken clouds
166,Antalaha,MG,-14.9003,50.2788,72.14,82,34,6.49,light rain
167,Alice,US,27.7523,-98.0697,84.54,56,0,8.05,clear sky
168,Hami,CN,42.8,93.45,81.82,17,68,9.91,broken clouds
169,Hazorasp,UZ,41.3194,61.0742,57.04,38,0,9.84,clear sky
170,Kavieng,PG,-2.5744,150.7967,84.79,64,18,17.96,few clouds
171,Palauig,PH,15.435,119.9045,81.99,80,100,10.65,overcast clouds
172,Itarema,BR,-2.9248,-39.9167,75.94,87,25,8.01,scattered clouds
173,Buraydah,SA,26.326,43.975,88.25,10,1,9.8,clear sky
174,Mpanda,TZ,-6.3655,31.0409,63.72,88,37,1.14,scattered clouds
175,Vyartsilya,RU,62.1764,30.693,43.09,68,98,4.05,overcast clouds
176,Kasongo-Lunda,CD,-6.4667,16.8167,69.22,93,62,1.19,light rain
177,Tura,IN,25.5198,90.2201,70.7,96,90,5.84,overcast clouds
178,Gunjur,GM,13.2019,-16.7339,73.47,83,0,10.36,clear sky
179,Letka,RU,59.6011,49.4232,30.97,98,100,6.02,light snow
180,Luganville,VU,-15.5333,167.1667,84.27,71,26,1.77,scattered clouds
181,Hirara,JP,24.8,125.2833,78.66,88,75,12.66,moderate rain
182,Chern,RU,53.4523,36.9145,33.75,86,3,7.09,clear sky
183,Dikson,RU,73.5069,80.5464,24.06,89,76,10.47,broken clouds
184,Upernavik,GL,72.7868,-56.1549,31.87,83,100,24.11,overcast clouds
185,Klyuchi,RU,52.2667,79.1667,52.32,42,86,6.33,overcast clouds
186,Port Blair,IN,11.6667,92.75,84.24,79,75,11.5,mist
187,Saldanha,ZA,-33.0117,17.9442,50.05,89,73,2.64,broken clouds
188,Newton,US,42.337,-71.2092,85.98,75,0,16.11,thunderstorm
189,Russell,US,32.3502,-85.1999,78.4,78,0,5.75,clear sky
190,Ribeira Grande,PT,38.5167,-28.7,64.35,94,100,4.23,light rain
191,Pembroke,CA,45.8168,-77.1162,55.18,73,98,7.56,overcast clouds
192,Vila Velha,BR,-20.3297,-40.2925,69.75,88,75,4.61,broken clouds
193,Abeche,TD,13.8292,20.8324,84.33,15,75,9.35,broken clouds
194,Sandpoint,US,48.2766,-116.5533,68.97,35,100,6.91,overcast clouds
195,Chuy,UY,-33.6971,-53.4616,53.22,82,66,5.95,broken clouds
196,Hambantota,LK,6.1241,81.1185,79.0,84,93,15.35,overcast clouds
197,Walvis Bay,NA,-22.9575,14.5053,65.35,32,4,11.5,clear sky
198,Saskylakh,RU,71.9167,114.0833,32.65,93,100,9.62,overcast clouds
199,Longyearbyen,SJ,78.2186,15.6401,35.44,87,75,2.3,broken clouds
200,Sheopur,IN,25.6667,76.7,87.69,53,3,10.13,clear sky
201,Ankang,CN,32.68,109.0172,68.54,65,1,0.81,clear sky
202,Hailun,CN,47.45,126.9333,70.65,35,76,17.63,broken clouds
203,Bintulu,MY,3.1667,113.0333,75.61,100,20,3.44,few clouds
204,Bosaso,SO,11.2842,49.1816,84.67,56,23,4.61,few clouds
205,Praia,CV,14.9215,-23.5087,72.14,68,75,11.5,broken clouds
206,Biaora,IN,23.8667,76.9167,82.65,64,14,13.91,few clouds
207,Merauke,ID,-8.4667,140.3333,83.08,72,22,12.33,few clouds
208,Korla,CN,41.7597,86.1469,76.95,21,100,12.66,overcast clouds
209,College,US,64.8569,-147.8028,67.95,25,40,16.11,scattered clouds
