City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Saskylakh,71.9167,114.0833,32.0,95,100,8.43,RU,2022-05-22 21:48:29
1,Rikitea,-23.1203,-134.9692,75.54,78,11,14.29,PF,2022-05-22 21:47:30
2,Pietarsaari,63.65,22.6833,44.01,65,99,8.75,FI,2022-05-22 21:48:30
3,Avarua,-21.2078,-159.775,82.45,83,75,15.55,CK,2022-05-22 21:48:31
4,Hithadhoo,-0.6,73.0833,83.88,70,97,13.91,MV,2022-05-22 21:48:31
5,Barrow,71.2906,-156.7887,23.02,86,100,9.22,US,2022-05-22 21:48:32
6,Carnarvon,-24.8667,113.6333,70.27,56,40,15.64,AU,2022-05-22 21:48:33
7,Freeport,40.6576,-73.5832,91.38,68,0,18.41,US,2022-05-22 21:48:33
8,Punta Arenas,-53.15,-70.9167,37.51,70,75,4.61,CL,2022-05-22 21:48:34
9,Cayenne,4.9333,-52.3333,82.09,1,20,3.0,GF,2022-05-22 21:36:51
10,Camabatela,-8.1881,15.375,61.45,88,62,3.04,AO,2022-05-22 21:48:35
11,Bluff,-46.6,168.3333,51.51,72,100,27.74,NZ,2022-05-22 21:45:52
12,Coihueco,-36.6167,-71.8333,48.94,93,100,18.41,CL,2022-05-22 21:48:36
13,Ushuaia,-54.8,-68.3,35.26,75,20,8.05,AR,2022-05-22 21:44:48
14,Busselton,-33.65,115.3333,60.15,71,79,23.02,AU,2022-05-22 21:48:37
15,Pevek,69.7008,170.3133,35.08,91,51,10.36,RU,2022-05-22 21:48:37
16,Hermanus,-34.4187,19.2345,59.7,82,86,6.42,ZA,2022-05-22 21:48:39
17,Sencur,46.2456,14.4197,65.12,90,75,4.61,SI,2022-05-22 21:48:39
18,Yellowknife,62.456,-114.3525,37.92,65,100,8.05,CA,2022-05-22 21:47:16
19,Albany,42.6001,-73.9662,77.67,82,96,3.0,US,2022-05-22 21:48:40
20,Atikokan,48.7555,-91.6216,54.3,34,100,7.61,CA,2022-05-22 21:48:40
21,Bambous Virieux,-20.3428,57.7575,73.65,78,20,8.05,MU,2022-05-22 21:48:41
